Timestamp[nanosec],gx[rad/s],gy[rad/s],gz[rad/s],ax[m/s^2],ay[m/s^2],az[m/s^2],Unix time[nanosec]
961748387461660,7.9894764E-4,6.657897E-4,-0.0014647373,0.35393196,0.3233896,-9.659168,1657487979888000000
961748389968275,0.0018642112,-3.9947382E-4,0.0027963168,0.29164952,0.33776248,-9.692106,1657487979891000000
961748392474837,7.9894764E-4,-3.9947382E-4,0.0038615803,0.29164952,0.30901673,-9.692106,1657487979893000000
961748394981400,7.9894764E-4,6.657897E-4,0.0017310532,0.27727664,0.27548003,-9.6968975,1657487979896000000
961748397487962,0.0029294747,-0.0014647373,6.657897E-4,0.29164952,0.30422577,-9.635813,1657487979902000000
961748399994577,-2.6631588E-4,-3.9947382E-4,6.657897E-4,0.32039526,0.280271,-9.687914,1657487979902000000
961748402501139,-0.0013315794,-0.0014647373,0.0017310532,0.3012314,0.3138077,-9.687914,1657487979903000000
961748405007702,0.0018642112,-3.9947382E-4,0.0037284223,0.3120111,0.3569263,-9.715462,1657487979905000000
961748407514264,-0.0013315794,-0.0014647373,0.0026631588,0.2641015,0.3138077,-9.672942,1657487979910000000
961748410020827,-2.6631588E-4,-0.0025300009,-5.3263176E-4,0.31680202,0.3569263,-9.70588,1657487979910000000
961748412527441,0.003994738,-3.9947382E-4,5.3263176E-4,0.31680202,0.3569263,-9.70588,1657487979913000000
961748415034004,-2.6631588E-4,-3.9947382E-4,0.0026631588,0.30242917,0.3233896,-9.70588,1657487979919000000
961748417540566,-0.0013315794,-0.0014647373,-5.3263176E-4,0.30242917,0.3233896,-9.70588,1657487979919000000
961748420047129,7.9894764E-4,-3.9947382E-4,0.0015978953,0.30242917,0.30901673,-9.677733,1657487979922000000
961748422553743,7.9894764E-4,0.0017310532,0.0015978953,0.30242917,0.30901673,-9.677733,1657487979923000000
961748425060306,0.0018642112,6.657897E-4,-0.0015978953,0.32638395,0.2994348,-9.720253,1657487979927000000
961748427566868,-2.6631588E-4,-3.9947382E-4,5.3263176E-4,0.30722013,0.30422577,-9.725044,1657487979929000000
961748430073431,-2.6631588E-4,-3.9947382E-4,5.3263176E-4,0.30722013,0.30422577,-9.725044,1657487979933000000
961748432580046,7.9894764E-4,-3.9947382E-4,-0.0026631588,0.321593,0.32818055,-9.7484,1657487979935000000
961748435086608,-0.0013315794,6.657897E-4,-0.0037284223,0.31680202,0.31859866,-9.663361,1657487979936000000
961748437593171,-0.0013315794,0.0038615803,5.3263176E-4,0.2784744,0.30901673,-9.734626,1657487979938000000
961748440099733,-0.0034621065,6.657897E-4,-5.3263176E-4,0.2784744,0.30901673,-9.734626,1657487979943000000
961748442606348,7.9894764E-4,-0.0014647373,-5.3263176E-4,0.3120111,0.3233896,-9.715462,1657487979943000000
961748445112910,0.0029294747,0.0017310532,-5.3263176E-4,0.29284725,0.3329715,-9.757982,1657487979945000000
961748447619473,0.003994738,0.0017310532,-5.3263176E-4,0.33596587,0.3233896,-9.781937,1657487979948000000
961748450126035,7.9894764E-4,-0.0014647373,0.0015978953,0.28805628,0.26110715,-9.729835,1657487979953000000
961748452632650,-0.002396843,6.657897E-4,5.3263176E-4,0.30242917,0.3233896,-9.682525,1657487979960000000
961748455139212,-2.6631588E-4,-0.0014647373,0.0026631588,0.321593,0.30901673,-9.729835,1657487979960000000
961748457645775,-2.6631588E-4,6.657897E-4,-5.3263176E-4,0.321593,0.30901673,-9.729835,1657487979961000000
961748460152337,-0.0013315794,0.0038615803,-5.3263176E-4,0.30722013,0.2994348,-9.682525,1657487979961000000
961748462658952,-2.6631588E-4,-0.0025300009,5.3263176E-4,0.28805628,0.3138077,-9.70588,1657487979965000000
961748465165514,-2.6631588E-4,-0.0025300009,-5.3263176E-4,0.28805628,0.3138077,-9.70588,1657487979967000000
961748467672077,-0.0013315794,0.0017310532,-5.3263176E-4,0.27368343,0.3138077,-9.720253,1657487979969000000
961748470178639,-0.0013315794,-0.0014647373,-5.3263176E-4,0.31680202,0.280271,-9.653778,1657487979972000000
961748472685254,0.0050600017,6.657897E-4,5.3263176E-4,0.27368343,0.28985292,-9.653778,1657487979975000000
